recipe_id,name,meal_type,category,cuisine,allowed_diets,ingredients,shopping_items,grocery_category,cost_usd,calories,protein_g,carbs_g,fat_g,fiber_g,iron_mg,calcium_mg,b12_mcg,vitamin_d_mcg,zinc_mg,sodium_mg,potassium_mg,magnesium_mg,gi,allergens,cross_contact_risks,risk_tags,ibs_safe,gerd_safe,diabetes_safe,hypertension_safe,is_fish,tags,bloom_bits
GERD08,Chicken Quinoa Tray,Dinner,Gentle Dinners,Student Prep,non-vegetarian,"chicken, quinoa, zucchini, olive oil","chicken, quinoa, zucchini, olive oil:1 serving",Gentle Dinners,7.4,800,55,76,25,7,5.0,240,0.8,1.7,5.4,590,1050,225,50,,,,1,1,1,1,0,gluten free gerd gentle b12,0
HTB01,Potassium Oat Banana Bowl,Breakfast,DASH Breakfast,Student Prep,vegetarian;pescatarian;non-vegetarian,"oats, banana, chia, fortified oat milk","oats, banana, chia, fortified oat milk:1 serving",DASH Breakfast,4.8,470,18,69,13,11,4.8,370,1.4,3.4,3.5,120,1180,230,50,,gluten,,1,1,1,1,0,dash low sodium potassium rich,0
HTB02,Avocado Egg Potato Bowl,Breakfast,DASH Breakfast,Student Prep,vegetarian;pescatarian;non-vegetarian,"eggs, potatoes, avocado, spinach","eggs, potatoes, avocado, spinach:1 serving",DASH Breakfast,4.8,500,24,54,22,10,4.8,260,1.2,3.6,3.3,280,1420,210,54,eggs,,,1,1,1,1,0,dash low sodium potassium rich,187072209583970232584267143235420203348942246641664
HTB03,Berry Hemp Breakfast,Breakfast,DASH Breakfast,Student Prep,vegetarian;pescatarian;non-vegetarian,"oats, berries, hemp, fortified milk","oats, berries, hemp, fortified milk:1 serving",DASH Breakfast,4.8,455,19,62,14,10,4.6,360,1.3,3.4,3.6,130,1080,220,49,,,,1,1,1,1,0,dash low sodium potassium rich,0
HTB04,Spinach Mushroom Omelet,Breakfast,DASH Breakfast,Student Prep,vegetarian;pescatarian;non-vegetarian,"eggs, spinach, mushrooms, potatoes","eggs, spinach, mushrooms, potatoes:1 serving",DASH Breakfast,4.8,490,26,46,22,7,4.4,260,1.4,3.8,3.5,290,1240,190,52,eggs,,,1,1,1,1,0,dash low sodium potassium rich,187072209583970232584267143235420203348942246641664
HTB05,Quinoa Breakfast Bowl,Breakfast,DASH Breakfast,Student Prep,vegetarian;pescatarian;non-vegetarian,"quinoa, banana, flax, berries","quinoa, banana, flax, berries:1 serving",DASH Breakfast,4.8,470,17,66,14,10,4.7,280,0.5,2.4,3.4,110,1120,235,48,,,,1,1,1,1,0,dash low sodium potassium rich,0
HTB06,Sweet Potato Egg Plate,Breakfast,DASH Breakfast,Student Prep,vegetarian;pescatarian;non-vegetarian,"sweet potato, eggs, kale","sweet potato, eggs, kale:1 serving",DASH Breakfast,4.8,485,23,52,21,8,4.5,240,1.3,3.5,3.2,280,1330,195,53,eggs,,,1,1,1,1,0,dash low sodium potassium rich,187072209583970232584267143235420203348942246641664
HTB07,Millet Fruit Bowl,Breakfast,DASH Breakfast,Student Prep,vegetarian;pescatarian;non-vegetarian,"millet, banana, pumpkin seeds","millet, banana, pumpkin seeds:1 serving",DASH Breakfast,4.8,465,18,64,14,9,5.0,290,0.4,2.4,3.8,120,1030,230,51,,,,1,1,1,1,0,dash low sodium potassium rich,0
HTB08,Low-Sodium Breakfast Hash,Breakfast,DASH Breakfast,Student Prep,vegetarian;pescatarian;non-vegetarian,"potatoes, egg, kale, avocado","potatoes, egg, kale, avocado:1 serving",DASH Breakfast,4.8,495,24,50,23,9,4.6,260,1.2,3.5,3.4,260,1400,205,52,,,,1,1,1,1,0,dash low sodium potassium rich,0
HTL01,Salmon Sweet Potato Bowl,Lunch,DASH Bowls,Student Prep,pescatarian;non-vegetarian,"salmon, sweet potato, spinach","salmon, sweet potato, spinach:1 serving",DASH Bowls,6.2,680,43,63,26,10,4.6,260,4.8,11.0,4.5,390,1580,260,48,fish,,,1,1,1,1,1,dash low sodium potassium rich,883423532800568304121950260910201553553080208508793596477386962254168064
HTL02,Trout Quinoa Kale Bowl,Lunch,DASH Bowls,Student Prep,pescatarian;non-vegetarian,"trout, quinoa, kale, avocado","trout, quinoa, kale, avocado:1 serving",DASH Bowls,6.2,675,44,58,28,10,4.8,280,5.0,12.0,4.8,380,1480,270,46,fish,,,1,1,1,1,1,dash low sodium potassium rich,883423532800568304121950260910201553553080208508793596477386962254168064
HTL03,Cod Potato Spinach Plate,Lunch,DASH Bowls,Student Prep,pescatarian;non-vegetarian,"cod, potatoes, spinach","cod, potatoes, spinach:1 serving",DASH Bowls,6.2,650,42,70,18,9,4.3,240,2.3,5.0,4.1,360,1530,245,52,fish,,,1,1,1,1,1,dash low sodium potassium rich,883423532800568304121950260910201553553080208508793596477386962254168064
HTL04,Tuna Avocado Rice Bowl,Lunch,DASH Bowls,Student Prep,pescatarian;non-vegetarian,"tuna, brown rice, avocado, cucumber","tuna, brown rice, avocado, cucumber:1 serving",DASH Bowls,6.2,660,43,68,22,9,4.0,220,3.4,7.0,4.2,410,1360,230,50,fish,,,1,1,1,1,1,dash low sodium potassium rich,883423532800568304121950260910201553553080208508793596477386962254168064
HTL05,Sardine-Free Pescatarian Bowl,Lunch,DASH Bowls,Student Prep,pescatarian;non-vegetarian,"white fish, quinoa, greens, sweet potato","white fish, quinoa, greens, sweet potato:1 serving",DASH Bowls,6.2,670,45,64,24,10,4.5,260,4.0,9.0,4.6,370,1550,265,47,fish,,,1,1,1,1,1,dash low sodium potassium rich,883423532800568304121950260910201553553080208508793596477386962254168064
HTL06,Chickpea Avocado Bowl,Lunch,DASH Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"chickpeas, quinoa, avocado, spinach","chickpeas, quinoa, avocado, spinach:1 serving",DASH Bowls,6.2,650,24,78,23,17,6.8,280,0.8,2.4,4.6,390,1460,285,42,,,,0,1,1,1,0,dash low sodium potassium rich,5846006549323611672814816702119893266696218083328
HTL07,Egg Potato Greens Bowl,Lunch,DASH Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"eggs, potatoes, kale, avocado","eggs, potatoes, kale, avocado:1 serving",DASH Bowls,6.2,640,28,62,28,10,5.0,260,1.4,3.8,3.7,400,1440,230,53,eggs,,,1,1,1,1,0,dash low sodium potassium rich,187072209583970232584267143235420203348942246641664
HTL08,Quinoa Bean DASH Bowl,Lunch,DASH Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"black beans, quinoa, spinach, avocado","black beans, quinoa, spinach, avocado:1 serving",DASH Bowls,6.2,655,27,82,21,18,6.9,290,0.8,2.5,4.7,380,1520,295,43,,,,0,1,1,1,0,dash low sodium potassium rich,5846006549323611672814816702119893266696218083328
HTD01,Baked Salmon Potato Dinner,Dinner,DASH Dinners,Student Prep,pescatarian;non-vegetarian,"salmon, potatoes, spinach, olive oil","salmon, potatoes, spinach, olive oil:1 serving",DASH Dinners,7.0,720,46,66,30,9,4.6,260,5.2,12.0,4.9,430,1610,270,50,fish,,,1,1,1,1,1,dash low sodium potassium rich,883423532800568304121950260910201553553080208508793596477386962254168064
HTD02,Trout Sweet Potato Dinner,Dinner,DASH Dinners,Student Prep,pescatarian;non-vegetarian,"trout, sweet potato, kale","trout, sweet potato, kale:1 serving",DASH Dinners,7.0,710,45,64,29,10,4.7,270,5.0,12.0,4.8,420,1660,275,48,fish,,,1,1,1,1,1,dash low sodium potassium rich,883423532800568304121950260910201553553080208508793596477386962254168064
HTD03,Cod Quinoa Dinner,Dinner,DASH Dinners,Student Prep,pescatarian;non-vegetarian,"cod, quinoa, spinach, avocado","cod, quinoa, spinach, avocado:1 serving",DASH Dinners,7.0,700,44,68,24,10,4.5,260,2.5,5.5,4.4,390,1520,260,49,fish,,,1,1,1,1,1,dash low sodium potassium rich,883423532800568304121950260910201553553080208508793596477386962254168064
HTD04,Shrimp-Free Fish Rice Plate,Dinner,DASH Dinners,Student Prep,pescatarian;non-vegetarian,"white fish, rice, greens, potatoes","white fish, rice, greens, potatoes:1 serving",DASH Dinners,7.0,710,45,76,22,8,4.3,250,3.0,6.5,4.3,410,1500,240,52,fish,,,1,1,1,1,1,dash low sodium potassium rich,883423532800568304121950260910201553553080208508793596477386962254168064
HTD05,Tuna Potato Kale Dinner,Dinner,DASH Dinners,Student Prep,pescatarian;non-vegetarian,"tuna, potatoes, kale, avocado","tuna, potatoes, kale, avocado:1 serving",DASH Dinners,7.0,715,46,66,28,10,4.4,260,3.6,7.0,4.7,430,1600,265,50,fish,,,1,1,1,1,1,dash low sodium potassium rich,883423532800568304121950260910201553553080208508793596477386962254168064
HTD06,Quinoa Lentil DASH Stew,Dinner,DASH Dinners,Student Prep,vegetarian;pescatarian;non-vegetarian,"lentils, quinoa, spinach, sweet potato","lentils, quinoa, spinach, sweet potato:1 serving",DASH Dinners,7.0,700,32,86,18,20,8.0,330,0.9,2.6,5.0,440,1700,320,38,,,,0,1,1,1,0,dash low sodium potassium rich,5846006549323611672814816702119893266696218083328
HTD07,Egg Kale Potato Dinner,Dinner,DASH Dinners,Student Prep,vegetarian;pescatarian;non-vegetarian,"eggs, potatoes, kale, avocado","eggs, potatoes, kale, avocado:1 serving",DASH Dinners,7.0,690,30,68,30,11,5.1,280,1.4,3.8,3.8,430,1540,250,52,eggs,,,1,1,1,1,0,dash low sodium potassium rich,187072209583970232584267143235420203348942246641664
HTD08,Black Bean Quinoa Dinner,Dinner,DASH Dinners,Student Prep,vegetarian;pescatarian;non-vegetarian,"black beans, quinoa, spinach, avocado","black beans, quinoa, spinach, avocado:1 serving",DASH Dinners,7.0,705,30,86,20,20,7.2,300,0.8,2.5,4.9,420,1680,315,42,,,,0,1,1,1,0,dash low sodium potassium rich,5846006549323611672814816702119893266696218083328
UNSAFE01,Garlic Tomato Pasta,Dinner,Pasta,Italian,vegetarian;pescatarian;non-vegetarian,"wheat pasta, tomato sauce, garlic, parmesan",wheat pasta:1 box; tomato sauce:1 jar,Pasta,5.5,720,24,108,18,7,4.0,300,0.4,1.0,2.5,980,720,120,70,gluten;dairy;lactose,,garlic;tomato;high_fodmap;gerd_trigger,0,0,0,0,0,excluded demo,4664476682387272409428352389363329426385801348364385652207395175506982862848
UNSAFE02,Spicy Fried Chicken Sandwich,Lunch,Fast Food,American,non-vegetarian,"fried chicken, wheat bun, spicy sauce",chicken:1; wheat bun:1,Fast Food,8.5,890,38,88,42,4,3.2,160,0.6,1.0,3.0,1580,690,110,72,gluten;eggs,,fried;spicy;gerd_trigger,0,0,0,0,0,excluded demo,4551398038869169957216746879659526044416149683324847985792455355888056795136
UNSAFE03,Soy Sauce Noodle Bowl,Dinner,Noodles,Asian,vegan;vegetarian;pescatarian;non-vegetarian,"wheat noodles, soy sauce, garlic, onion",wheat noodles:1 pack; soy sauce:1 bottle,Noodles,6.0,760,26,120,14,6,4.0,120,0.0,0.5,2.4,2100,640,130,68,gluten;soy,,garlic;onion;high_fodmap;high_sodium,0,0,0,0,0,excluded demo,4664476265442719141101714124683685255436902230980781800949676985934927761536
